bélico/Corazones de hierro.txt,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1000608288825715, 0.0, 0.0, 1.9459101490553132, 0.0, 0.0, 0.0, 0.0, 1.6015556895046212, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5224807296682569, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8918202981106265, 2.2384631517416906, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7137664677626809]"
acción/Kill Bill - Volumen 1.txt,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7137664677626809, 0.0, 0.0, 0.0, 0.0, 0.13062018241706422, 2.2823823856765264, 1.9459101490553132, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2823823856765264, 0.0, 0.0, 0.0, 0.0, 0.0, 6.3001824866477145, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.847147157029579, 0.0, 0.0, 0.0, 0.0, 2.505525936990736, 0.0, 0.0]"
bélico/Senderos de gloria.txt,"[4.005794160857848, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.3891914415488147, 0.0, 1.6945957207744073, 0.0, 0.0, 0.0, 0.0, 0.0, 4.564764771353053, 0.0, 0.3918605472511927, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.6247575128615814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7921760491132714, 2.1000608288825715, 3.364722366212129, 0.0, 0.0, 1.4275329355253619]"
acción/A todo gas 3 punto 5 - Los bandoleros.txt,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.783640596221253, 0.0, 0.0, 0.0, 0.13062018241706422, 0.0, 0.0, 0.0, 0.0, 2.6882640736699073, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2823823856765264, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.32687094064909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
bélico/Caballo de batalla.txt,"[0.0, 0.0, 0.0, 0.0, 1.252762968495368, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8007778447523106, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2823823856765264, 0.0, 0.3918605472511927, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1000608288825715, 0.0, 0.0, 0.0, 0.7137664677626809]"
bélico/Corazones de acero.txt,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.8123787564307907, 0.0, 2.1000608288825715, 0.0, 0.0, 1.1192315758708453, 4.767705615349743, 2.2823823856765264, 1.6945957207744073, 0.8007778447523106, 3.3891914415488147, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6945957207744073, 0.6531009120853211, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.589235205116581, 0.0, 0.0, 1.1192315758708453, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6729444732424258, 0.0, 1.8123787564307907, 1.4275329355253619]"
bélico/El sargento de hierro.txt,"[0.0, 0.0, 0.0, 0.0, 1.252762968495368, 0.0, 0.0, 0.0, 0.0, 1.9459101490553132, 0.0, 0.0, 0.0, 0.0, 4.003889223761553, 1.6945957207744073, 0.0, 0.0, 0.7137664677626809, 0.0, 0.0, 0.0, 0.0, 0.26124036483412844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9459101490553132, 0.0, 2.1000608288825715, 0.0, 0.0, 0.0, 0.8960880245566357, 0.0, 0.0, 0.0, 0.0, 0.7137664677626809]"
acción/Misión imposible - Protocolo fantasma.txt,"[0.0, 0.0, 0.0, 0.0, 0.0, 3.6247575128615814, 0.0, 2.1000608288825715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.141299403288043, 0.0, 0.0, 0.0, 0.0, 0.26124036483412844, 2.2823823856765264, 3.8918202981106265, 0.0, 0.0, 0.0, 0.0, 1.8123787564307907, 2.2823823856765264, 0.0, 1.8123787564307907, 4.234427816217642, 0.0, 2.2823823856765264, 0.0, 2.505525936990736, 0.0, 2.2823823856765264, 0.0, 1.1192315758708453, 0.0, 5.30748376259636, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
acción/Turbo-Charged Prelude.txt,"[0.0, 3.178470410233162, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4718687493454137, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.32687094064909, 0.0, 1.1837700970084166, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
acción/Jungla de cristal.txt,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.516577810972208, 0.0, 0.0, 0.0, 0.0, 2.2823823856765264, 0.0, 0.0, 0.0, 0.4906229164484712, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.32687094064909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
acción/Fast and Furious 7.txt,"[0.0, 1.589235205116581, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6945957207744073, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.847147157029579, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1837700970084166, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
bélico/Cartas desde Iwo Jima.txt,"[2.002897080428924, 0.0, 0.0, 0.0, 0.0, 1.8123787564307907, 0.0, 0.0, 0.0, 0.0, 1.1192315758708453, 0.0, 0.0, 0.0, 0.8007778447523106, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.3891914415488147, 0.0, 0.0, 0.4906229164484712, 0.0, 0.0, 0.0, 1.589235205116581, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7921760491132714, 0.0, 0.0, 0.0, 0.0, 0.7137664677626809]"
